Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
PhD,Information Technology,"Python, DSA, Git, SQL",AWS,6.54,Software Engineer
Bachelor's,Computer Science,"Git, Python, Java, DSA",Python Certification,9.16,Software Engineer
PhD,Information Technology,"DSA, SQL, Git, Python",AWS,6.71,Software Engineer
Master's,Computer Science,"Python, SQL, DSA, Java",Azure,9.02,Software Engineer
PhD,Information Technology,"Java, Git, SQL, Python",AWS,9.46,Software Engineer
Bachelor's,Information Technology,"Git, DSA, SQL, Java",AWS,8.32,Software Engineer
Bachelor's,Computer Science,"Python, DSA, SQL, Java",Azure,7.04,Software Engineer
Bachelor's,Computer Science,"Python, Git, Java, SQL",Azure,6.72,Software Engineer
Bachelor's,Computer Science,"SQL, Python, Java, Git",AWS,9.25,Software Engineer
PhD,Computer Science,"Python, Java, DSA, Git",Azure,9.19,Software Engineer
Bachelor's,Computer Science,"Git, Python, Java, DSA",Azure,7.14,Software Engineer
Master's,Computer Science,"Python, Git, DSA, SQL",AWS,9.69,Software Engineer
Master's,Computer Science,"Java, DSA, SQL, Git",Python Certification,8.26,Software Engineer
Bachelor's,Information Technology,"SQL, Python, Java, DSA",Azure,7.29,Software Engineer
Bachelor's,Computer Science,"DSA, Python, SQL, Java",AWS,6.83,Software Engineer
Master's,Information Technology,"Git, DSA, Java, SQL",AWS,8.6,Software Engineer
Master's,Computer Science,"DSA, Git, Java, Python",Python Certification,8.02,Software Engineer
Master's,Computer Science,"Git, Java, Python, SQL",Python Certification,7.35,Software Engineer
Master's,Computer Science,"DSA, Git, SQL, Java",Python Certification,8.85,Software Engineer
Bachelor's,Computer Science,"Java, SQL, Git, Python",Azure,7.42,Software Engineer
Master's,Computer Science,"DSA, Java, Python, Git",Python Certification,9.1,Software Engineer
Bachelor's,Information Technology,"SQL, Python, Java, DSA",Azure,9.46,Software Engineer
PhD,Computer Science,"Git, SQL, Python, Java",Azure,7.53,Software Engineer
Bachelor's,Computer Science,"SQL, DSA, Git, Java",Azure,9.16,Software Engineer
PhD,Information Technology,"DSA, Java, Python, SQL",Python Certification,7.54,Software Engineer
PhD,Information Technology,"SQL, DSA, Git, Java",Azure,8.52,Software Engineer
Bachelor's,Computer Science,"SQL, DSA, Git, Java",Python Certification,8.21,Software Engineer
PhD,Information Technology,"Java, DSA, Git, SQL",Azure,8.65,Software Engineer
PhD,Information Technology,"SQL, DSA, Git, Python",Python Certification,7.02,Software Engineer
PhD,Information Technology,"Python, DSA, Git, SQL",Python Certification,8.2,Software Engineer
Bachelor's,Computer Science,"DSA, Java, Python, Git",AWS,9.03,Software Engineer
Bachelor's,Computer Science,"DSA, SQL, Git, Python",Python Certification,7.82,Software Engineer
PhD,Information Technology,"DSA, Java, SQL, Git",AWS,6.77,Software Engineer
Bachelor's,Information Technology,"Java, SQL, DSA, Git",Azure,6.66,Software Engineer
PhD,Information Technology,"DSA, Java, Python, Git",Azure,7.58,Software Engineer
Master's,Computer Science,"Git, SQL, Python, Java",Python Certification,6.99,Software Engineer
Master's,Computer Science,"Java, SQL, Python, Git",AWS,6.52,Software Engineer
PhD,Computer Science,"Python, DSA, Git, SQL",Python Certification,6.71,Software Engineer
Master's,Computer Science,"Git, Python, DSA, SQL",Azure,8.11,Software Engineer
Master's,Information Technology,"DSA, Git, Python, SQL",Python Certification,8.77,Software Engineer
Master's,Information Technology,"Python, Git, Java, SQL",Azure,6.99,Software Engineer
PhD,Computer Science,"DSA, Python, Git, Java",AWS,7.76,Software Engineer
PhD,Computer Science,"SQL, Git, DSA, Java",Azure,6.66,Software Engineer
Bachelor's,Information Technology,"Python, Git, Java, SQL",Python Certification,6.89,Software Engineer
PhD,Information Technology,"SQL, Java, DSA, Git",AWS,8.17,Software Engineer
Bachelor's,Information Technology,"Git, Python, SQL, DSA",Python Certification,6.59,Software Engineer
Master's,Information Technology,"DSA, SQL, Java, Git",Python Certification,9.69,Software Engineer
PhD,Computer Science,"Java, Python, Git, DSA",AWS,7.98,Software Engineer
Master's,Information Technology,"DSA, Git, SQL, Java",Python Certification,7.49,Software Engineer
PhD,Computer Science,"Java, DSA, SQL, Python",Azure,7.22,Software Engineer
PhD,Computer Science,"DSA, Git, SQL, Python",Azure,8.23,Software Engineer
Bachelor's,Information Technology,"DSA, Python, SQL, Java",Python Certification,8.3,Software Engineer
PhD,Information Technology,"Git, Java, Python, SQL",Azure,9.11,Software Engineer
Master's,Information Technology,"DSA, SQL, Python, Java",Azure,8.05,Software Engineer
Bachelor's,Information Technology,"SQL, Python, Git, Java",AWS,7.31,Software Engineer
Master's,Information Technology,"Git, Python, Java, DSA",Python Certification,7.44,Software Engineer
Bachelor's,Information Technology,"Java, SQL, Git, DSA",Python Certification,7.79,Software Engineer
Bachelor's,Computer Science,"Java, Git, DSA, Python",AWS,6.66,Software Engineer
Master's,Information Technology,"Python, Java, DSA, Git",Azure,9.07,Software Engineer
Bachelor's,Computer Science,"Java, Git, SQL, Python",Azure,7.22,Software Engineer
PhD,Computer Science,"SQL, DSA, Java, Python",AWS,7.92,Software Engineer
Master's,Computer Science,"Python, Java, Git, DSA",Azure,6.73,Software Engineer
Bachelor's,Information Technology,"Git, SQL, Python, DSA",AWS,8.97,Software Engineer
Bachelor's,Information Technology,"SQL, Java, DSA, Python",Python Certification,8.32,Software Engineer
Bachelor's,Computer Science,"Java, SQL, Git, DSA",Azure,6.5,Software Engineer
Bachelor's,Computer Science,"Python, Git, SQL, DSA",Python Certification,9.5,Software Engineer
PhD,Information Technology,"Python, Java, DSA, SQL",Azure,9.27,Software Engineer
PhD,Information Technology,"Python, Java, Git, SQL",Python Certification,9.35,Software Engineer
PhD,Computer Science,"SQL, Java, Python, Git",Python Certification,9.71,Software Engineer
Bachelor's,Information Technology,"SQL, Git, Python, Java",AWS,7.15,Software Engineer
PhD,Information Technology,"Java, Git, Python, DSA",AWS,8.48,Software Engineer
Bachelor's,Computer Science,"DSA, Python, SQL, Java",AWS,8.14,Software Engineer
PhD,Computer Science,"DSA, Python, SQL, Git",Python Certification,7.49,Software Engineer
PhD,Information Technology,"Git, DSA, Python, Java",AWS,6.86,Software Engineer
Master's,Information Technology,"Java, Git, SQL, Python",Azure,7.83,Software Engineer
Bachelor's,Computer Science,"DSA, SQL, Git, Python",Azure,9.47,Software Engineer
Bachelor's,Information Technology,"DSA, Java, Git, SQL",Azure,7.48,Software Engineer
Master's,Computer Science,"DSA, Git, Python, Java",Python Certification,8.81,Software Engineer
PhD,Computer Science,"Python, Java, SQL, Git",Python Certification,7.33,Software Engineer
Master's,Computer Science,"Java, SQL, Python, Git",Azure,7.25,Software Engineer
Bachelor's,Computer Science,"DSA, Java, Python, SQL",Python Certification,8.47,Software Engineer
Master's,Information Technology,"Python, Java, Git, SQL",Azure,6.91,Software Engineer
PhD,Computer Science,"Git, Python, DSA, SQL",AWS,7.88,Software Engineer
Master's,Information Technology,"SQL, Java, Python, DSA",AWS,7.73,Software Engineer
PhD,Computer Science,"DSA, Java, Git, Python",AWS,7.59,Software Engineer
Bachelor's,Information Technology,"Java, SQL, Git, Python",Python Certification,6.92,Software Engineer
PhD,Computer Science,"DSA, Java, SQL, Python",AWS,7.84,Software Engineer
PhD,Computer Science,"Git, SQL, Java, Python",AWS,8.59,Software Engineer
Master's,Information Technology,"DSA, Java, Python, SQL",AWS,6.73,Software Engineer
Bachelor's,Information Technology,"Python, SQL, DSA, Java",Azure,7.59,Software Engineer
Master's,Computer Science,"Git, Java, Python, DSA",Azure,7.62,Software Engineer
PhD,Information Technology,"Git, Java, SQL, DSA",AWS,6.54,Software Engineer
Master's,Computer Science,"SQL, Java, DSA, Git",Azure,7.93,Software Engineer
Bachelor's,Computer Science,"Git, Java, SQL, Python",Azure,6.92,Software Engineer
Bachelor's,Information Technology,"Git, DSA, Java, Python",Python Certification,6.54,Software Engineer
PhD,Computer Science,"Python, Git, DSA, SQL",Python Certification,6.83,Software Engineer
PhD,Computer Science,"Git, Python, Java, DSA",Python Certification,8.3,Software Engineer
Master's,Information Technology,"Java, Git, SQL, DSA",Python Certification,6.53,Software Engineer
Bachelor's,Computer Science,"Python, SQL, Git, Java",Python Certification,7.6,Software Engineer
Bachelor's,Computer Science,"DSA, SQL, Git, Java",Python Certification,9.42,Software Engineer
Master's,Information Technology,"DSA, Python, SQL, Java",Python Certification,9.02,Software Engineer
PhD,Information Technology,"Python, Java, SQL, Git",Python Certification,9.75,Software Engineer
Master's,Computer Science,"Java, DSA, Git, SQL",Python Certification,8.34,Software Engineer
PhD,Information Technology,"Java, Git, Python, SQL",Azure,7.98,Software Engineer
Master's,Computer Science,"Git, SQL, Python, DSA",Azure,7.72,Software Engineer
Master's,Computer Science,"SQL, DSA, Python, Java",AWS,7.3,Software Engineer
Bachelor's,Information Technology,"Python, SQL, Git, DSA",Python Certification,9.47,Software Engineer
PhD,Computer Science,"Java, Git, SQL, Python",Python Certification,6.83,Software Engineer
Bachelor's,Information Technology,"DSA, Git, Java, SQL",AWS,6.89,Software Engineer
Bachelor's,Information Technology,"Python, DSA, Git, SQL",Azure,9.28,Software Engineer
Master's,Computer Science,"DSA, Git, Java, SQL",AWS,8.4,Software Engineer
PhD,Information Technology,"DSA, Python, Git, SQL",Python Certification,7.14,Software Engineer
Master's,Information Technology,"DSA, Python, Git, Java",Azure,7.06,Software Engineer
Master's,Information Technology,"Git, DSA, Python, Java",Python Certification,6.94,Software Engineer
Bachelor's,Computer Science,"SQL, Python, DSA, Git",Azure,8.72,Software Engineer
PhD,Computer Science,"DSA, Python, Java, SQL",Azure,7.98,Software Engineer
PhD,Information Technology,"Java, DSA, SQL, Git",Python Certification,6.82,Software Engineer
Master's,Computer Science,"SQL, Python, Git, Java",Python Certification,9.53,Software Engineer
Master's,Information Technology,"Git, Java, SQL, Python",Python Certification,7.68,Software Engineer
Master's,Information Technology,"Python, Java, DSA, Git",AWS,8.59,Software Engineer
Bachelor's,Computer Science,"Git, SQL, DSA, Python",Azure,7.51,Software Engineer
Bachelor's,Computer Science,"SQL, Git, Python, Java",Python Certification,9.33,Software Engineer
Bachelor's,Information Technology,"Git, SQL, DSA, Python",Python Certification,7.46,Software Engineer
Bachelor's,Computer Science,"Java, Python, SQL, Git",Python Certification,8.42,Software Engineer
Bachelor's,Information Technology,"Java, Python, Git, SQL",Python Certification,8.86,Software Engineer
PhD,Computer Science,"Java, Python, DSA, Git",AWS,7.99,Software Engineer
Master's,Computer Science,"Git, SQL, Java, Python",Azure,9.21,Software Engineer
PhD,Information Technology,"Python, Git, SQL, Java",Python Certification,6.74,Software Engineer
Master's,Information Technology,"Python, SQL, Java, DSA",Azure,9.69,Software Engineer
Bachelor's,Computer Science,"Python, Git, SQL, DSA",AWS,9.46,Software Engineer
PhD,Information Technology,"Git, Java, DSA, Python",AWS,6.96,Software Engineer
Master's,Computer Science,"Git, DSA, Java, Python",Python Certification,7.75,Software Engineer
PhD,Information Technology,"SQL, Java, Python, DSA",AWS,7.38,Software Engineer
Master's,Information Technology,"SQL, Git, Java, DSA",Python Certification,9.39,Software Engineer
PhD,Computer Science,"Java, DSA, SQL, Python",Azure,9.75,Software Engineer
PhD,Computer Science,"Python, DSA, Git, SQL",AWS,7.91,Software Engineer
PhD,Computer Science,"Java, DSA, Git, Python",Python Certification,7.56,Software Engineer
Master's,Information Technology,"SQL, Git, DSA, Java",Azure,9.76,Software Engineer
Master's,Computer Science,"Java, Git, DSA, SQL",Azure,9.5,Software Engineer
Master's,Computer Science,"Python, SQL, Git, DSA",Azure,6.57,Software Engineer
Master's,Computer Science,"Java, Python, Git, DSA",Python Certification,7.59,Software Engineer
PhD,Information Technology,"Git, SQL, DSA, Java",AWS,7.31,Software Engineer
Master's,Computer Science,"Python, DSA, Git, SQL",Python Certification,6.97,Software Engineer
Bachelor's,Information Technology,"Java, Git, SQL, Python",AWS,8.13,Software Engineer
PhD,Computer Science,"Git, SQL, Java, DSA",Azure,9.35,Software Engineer
Master's,Computer Science,"DSA, Python, Git, SQL",AWS,7.07,Software Engineer
PhD,Computer Science,"SQL, Git, DSA, Java",Python Certification,7.45,Software Engineer
Bachelor's,Information Technology,"SQL, Python, Java, DSA",Python Certification,8.17,Software Engineer
Master's,Information Technology,"Java, Git, SQL, DSA",Azure,9.48,Software Engineer
Master's,Computer Science,"Java, Python, DSA, SQL",Python Certification,9.49,Software Engineer
PhD,Information Technology,"Python, SQL, Git, Java",Python Certification,7.99,Software Engineer
PhD,Computer Science,"Python, SQL, Java, Git",AWS,8.35,Software Engineer
Master's,Computer Science,"Java, DSA, Python, SQL",AWS,8.03,Software Engineer
Master's,Information Technology,"Python, Git, DSA, Java",Python Certification,8.38,Software Engineer
PhD,Information Technology,"DSA, Python, Java, SQL",AWS,8.5,Software Engineer
Master's,Information Technology,"Java, DSA, Git, Python",AWS,9.66,Software Engineer
Bachelor's,Information Technology,"SQL, DSA, Java, Python",AWS,6.92,Software Engineer
Master's,Computer Science,"Git, Java, Python, DSA",AWS,7.08,Software Engineer
Bachelor's,Computer Science,"Git, DSA, Java, SQL",Azure,8.43,Software Engineer
Bachelor's,Information Technology,"SQL, Java, Git, Python",Azure,7.02,Software Engineer
PhD,Information Technology,"Git, Python, SQL, DSA",Python Certification,9.66,Software Engineer
Master's,Information Technology,"SQL, DSA, Python, Git",Azure,7.59,Software Engineer
Bachelor's,Computer Science,"Git, Python, SQL, DSA",Azure,8.16,Software Engineer
Bachelor's,Computer Science,"DSA, Git, SQL, Java",Azure,7.94,Software Engineer
PhD,Computer Science,"Git, Java, DSA, SQL",Azure,7.0,Software Engineer
Master's,Information Technology,"Python, DSA, Git, Java",Python Certification,8.92,Software Engineer
Master's,Information Technology,"Python, Java, SQL, Git",Azure,7.75,Software Engineer
PhD,Computer Science,"Python, Git, Java, DSA",Azure,7.41,Software Engineer
PhD,Computer Science,"Git, SQL, Java, Python",Azure,7.93,Software Engineer
PhD,Computer Science,"Git, SQL, Java, DSA",Azure,9.29,Software Engineer
PhD,Information Technology,"DSA, Git, SQL, Python",AWS,8.32,Software Engineer
PhD,Computer Science,"Git, Java, Python, DSA",Azure,7.01,Software Engineer
PhD,Computer Science,"Python, SQL, Java, DSA",Azure,7.22,Software Engineer
Master's,Computer Science,"SQL, Git, Python, Java",AWS,8.09,Software Engineer
Bachelor's,Computer Science,"Python, Git, DSA, SQL",Python Certification,9.4,Software Engineer
Bachelor's,Computer Science,"Java, Python, DSA, SQL",AWS,7.71,Software Engineer
PhD,Information Technology,"SQL, DSA, Python, Git",Azure,9.35,Software Engineer
Bachelor's,Computer Science,"Java, SQL, Python, Git",Azure,9.09,Software Engineer
Master's,Computer Science,"SQL, DSA, Python, Java",AWS,8.97,Software Engineer
PhD,Computer Science,"SQL, Git, Python, Java",Python Certification,6.79,Software Engineer
Bachelor's,Computer Science,"DSA, Python, SQL, Git",Python Certification,7.88,Software Engineer
Bachelor's,Computer Science,"Java, DSA, SQL, Git",Azure,9.14,Software Engineer
PhD,Computer Science,"Java, Git, Python, SQL",AWS,8.48,Software Engineer
PhD,Information Technology,"Python, Git, Java, DSA",Python Certification,7.17,Software Engineer
Bachelor's,Information Technology,"SQL, Python, Git, Java",Python Certification,9.1,Software Engineer
Master's,Computer Science,"DSA, Java, Python, SQL",AWS,9.52,Software Engineer
Master's,Computer Science,"SQL, Java, Git, DSA",AWS,7.11,Software Engineer
PhD,Information Technology,"Python, DSA, Git, Java",AWS,6.65,Software Engineer
Bachelor's,Computer Science,"DSA, SQL, Python, Git",Python Certification,7.47,Software Engineer
PhD,Information Technology,"SQL, DSA, Git, Java",Python Certification,7.81,Software Engineer
PhD,Computer Science,"Python, Git, Java, SQL",Azure,6.78,Software Engineer
Bachelor's,Information Technology,"Java, Python, DSA, SQL",Azure,8.37,Software Engineer
Bachelor's,Information Technology,"DSA, Python, Git, Java",Azure,6.77,Software Engineer
Master's,Information Technology,"Java, Git, DSA, Python",Azure,6.52,Software Engineer
Master's,Information Technology,"Python, SQL, Git, Java",AWS,8.27,Software Engineer
PhD,Information Technology,"Python, DSA, Git, SQL",Azure,6.54,Software Engineer
Master's,Computer Science,"Git, SQL, DSA, Python",AWS,9.21,Software Engineer
Master's,Computer Science,"SQL, Java, Python, Git",Python Certification,6.68,Software Engineer
Bachelor's,Computer Science,"SQL, DSA, Java, Git",Python Certification,9.15,Software Engineer
PhD,Computer Science,"DSA, SQL, Java, Git",AWS,9.27,Software Engineer
Bachelor's,Information Technology,"Python, DSA, SQL, Git",AWS,8.57,Software Engineer
Master's,Computer Science,"Git, DSA, Java, SQL",Azure,6.61,Software Engineer
Bachelor's,Information Technology,"Git, Python, Java, SQL",Azure,7.49,Software Engineer
PhD,Information Technology,"Git, SQL, Java, DSA",AWS,7.96,Software Engineer
Bachelor's,Computer Science,"Git, DSA, SQL, Python",AWS,9.02,Software Engineer
Master's,Computer Science,"DSA, Git, Java, SQL",Azure,9.78,Software Engineer
Bachelor's,Information Technology,"Git, Java, DSA, SQL",Azure,7.88,Software Engineer
Master's,Information Technology,"Git, Python, DSA, Java",Python Certification,8.03,Software Engineer
Bachelor's,AI,"Machine Learning, TensorFlow, Python, Pandas",AWS,9.31,ML Engineer
Master's,Data Science,"Deep Learning, TensorFlow, Pandas, Machine Learning",Machine Learning Certification,7.71,ML Engineer
PhD,Data Science,"Machine Learning, Python, Deep Learning, TensorFlow",AWS,7.52,ML Engineer
PhD,AI,"Deep Learning, TensorFlow, Pandas, Machine Learning",Machine Learning Certification,8.63,ML Engineer
Bachelor's,Computer Science,"Machine Learning, Pandas, Deep Learning, Python",AWS,6.83,ML Engineer
Bachelor's,Computer Science,"Python, Pandas, Deep Learning, Machine Learning",AWS,6.56,ML Engineer
Bachelor's,Data Science,"Deep Learning, Pandas, Python, Machine Learning",Machine Learning Certification,9.28,ML Engineer
PhD,Data Science,"Pandas, TensorFlow, Machine Learning, Python",Machine Learning Certification,9.18,ML Engineer
Bachelor's,AI,"Pandas, TensorFlow, Machine Learning, Deep Learning",AWS,9.24,ML Engineer
Master's,Data Science,"TensorFlow, Machine Learning, Deep Learning, Pandas",AWS,9.14,ML Engineer
PhD,Data Science,"Machine Learning, Python, Pandas, TensorFlow",Machine Learning Certification,9.45,ML Engineer
PhD,Data Science,"Pandas, Deep Learning, Python, TensorFlow",AWS,9.78,ML Engineer
Bachelor's,AI,"Python, Pandas, Machine Learning, TensorFlow",Machine Learning Certification,6.62,ML Engineer
PhD,Computer Science,"Deep Learning, TensorFlow, Python, Machine Learning",Machine Learning Certification,8.42,ML Engineer
PhD,Data Science,"Python, TensorFlow, Machine Learning, Deep Learning",AWS,8.47,ML Engineer
Master's,AI,"TensorFlow, Python, Machine Learning, Deep Learning",AWS,9.45,ML Engineer
Master's,Computer Science,"Python, Deep Learning, Pandas, Machine Learning",Machine Learning Certification,9.12,ML Engineer
Master's,Computer Science,"Python, Deep Learning, Pandas, Machine Learning",AWS,9.65,ML Engineer
Bachelor's,AI,"Machine Learning, Deep Learning, Pandas, Python",AWS,7.15,ML Engineer
Bachelor's,AI,"Python, Deep Learning, Pandas, TensorFlow",Machine Learning Certification,7.46,ML Engineer
Bachelor's,Computer Science,"Machine Learning, Pandas, TensorFlow, Deep Learning",Machine Learning Certification,8.63,ML Engineer
PhD,AI,"Python, Machine Learning, Pandas, Deep Learning",AWS,8.76,ML Engineer
Master's,Data Science,"Deep Learning, TensorFlow, Machine Learning, Python",Machine Learning Certification,8.68,ML Engineer
Bachelor's,AI,"TensorFlow, Machine Learning, Deep Learning, Pandas",Machine Learning Certification,9.13,ML Engineer
Bachelor's,Computer Science,"Machine Learning, Python, Pandas, Deep Learning",Machine Learning Certification,8.35,ML Engineer
Bachelor's,Computer Science,"Deep Learning, Machine Learning, TensorFlow, Python",Machine Learning Certification,7.96,ML Engineer
Bachelor's,Data Science,"Python, Deep Learning, TensorFlow, Pandas",Machine Learning Certification,6.59,ML Engineer
PhD,Data Science,"Deep Learning, TensorFlow, Pandas, Machine Learning",Machine Learning Certification,9.12,ML Engineer
PhD,Data Science,"Pandas, TensorFlow, Python, Machine Learning",Machine Learning Certification,6.84,ML Engineer
